videoid,contentUrl,duration,page_dir,name,duration_seconds,cleaned_name,cluster,merged_dir
1008352831,https://ak.picdn.net/shutterstock/videos/1008352831/preview/stock-footage-cluster-of-grapes-hanging-on-a-vine-in-israel-in-the-afternoon-sun.mp4,PT00H00M35S,067151_067200,Cluster of grapes hanging on a vine in israel in the afternoon sun.,35.0,cluster grape hanging vine israel afternoon sun,0,067151_067200
1049317216,https://ak.picdn.net/shutterstock/videos/1049317216/preview/stock-footage-top-view-of-the-turn-of-the-wild-path-in-a-young-pine-forest.mp4,PT00H00M27S,067151_067200,Top view of the turn of the wild path in a young pine forest.,27.0,top view turn wild path young pine forest,0,067151_067200
1027826198,https://ak.picdn.net/shutterstock/videos/1027826198/preview/stock-footage-concentrated-in-a-good-mood-businessman-working-in-his-notebook-from-home-while-sitting-on-living.mp4,PT00H00M12S,067151_067200,Concentrated in a good mood businessman working in his notebook from home while sitting on living room stairs,12.0,concentrated good mood businessman working notebook home sitting living room stair,0,067151_067200
1034665373,https://ak.picdn.net/shutterstock/videos/1034665373/preview/stock-footage-a-flight-over-dee-why-beach-showing-the-rock-pools.mp4,PT00H00M23S,067151_067200,A flight over dee why beach showing the rock pools,23.0,flight dee beach showing rock pool,0,067151_067200
19056808,https://ak.picdn.net/shutterstock/videos/19056808/preview/stock-footage-rocks-along-the-oregon-coastline.mp4,PT00H00M10S,067151_067200,Rocks along the oregon coastline.,10.0,rock along oregon coastline,0,067151_067200
1030936340,https://ak.picdn.net/shutterstock/videos/1030936340/preview/stock-footage-istanbul-turkey-january-people-walk-on-a-street-full-of-shopping-stores-in-istanbul.mp4,PT00H00M10S,067151_067200,"Istanbul , turkey - 11 january 2019: people walk on a street full of shopping stores in istanbul, turkey.",10.0,istanbul turkey january people walk street full shopping store istanbul turkey,0,067151_067200
21014152,https://ak.picdn.net/shutterstock/videos/21014152/preview/stock-footage-a-copper-butterfly-feeding-on-stream-side-butterfly-milkweed-flowers-and-then-departing-includes.mp4,PT00H00M15S,067151_067200,"A copper butterfly feeding on stream-side butterfly milkweed flowers and then departing; includes the natural ambient sound of the nearby stream; horton creek in arizona
",15.0,copper butterfly feeding streamside butterfly milkweed flower departing includes natural ambient sound nearby stream horton creek arizona,0,067151_067200
1020193789,https://ak.picdn.net/shutterstock/videos/1020193789/preview/stock-footage-the-cat-is-sitting-on-the-table-gray-white-cat-with-a-collar-sitting-on-a-table-in-the-room.mp4,PT00H00M09S,067151_067200,The cat is sitting on the table. gray-white cat with a collar sitting on a table in the room indoors. cat pet concept lifestyle,9.0,cat sitting table graywhite cat collar sitting table room indoors cat pet concept lifestyle,0,067151_067200
1025242868,https://ak.picdn.net/shutterstock/videos/1025242868/preview/stock-footage-audio-tape-vintage-tape-recorder-plays-audio-cassette-inserted-therein-macro-static-camera-view.mp4,PT00H00M16S,067151_067200,Audio tape. vintage tape recorder plays audio cassette inserted therein. macro static camera view of retro yellow audio cassette tape with a blank label used for sound recording or playing in a retro,16.0,audio tape vintage tape recorder play audio cassette inserted therein macro static camera view retro yellow audio cassette tape blank label used sound recording playing retro,0,067151_067200
12907937,https://ak.picdn.net/shutterstock/videos/12907937/preview/stock-footage-hong-kong-february-perspective-view-of-the-slow-throng-move-unidentified-people-flow.mp4,PT00H00M11S,067151_067200,"Hong kong - february 00, 2015: perspective view of the slow throng move, unidentified people flow on the open air street market at daytime",11.0,hong kong february perspective view slow throng move unidentified people flow open air street market daytime,0,067151_067200
1007789530,https://ak.picdn.net/shutterstock/videos/1007789530/preview/stock-footage-a-young-white-handsome-male-doing-an-underwater-selfie-on-an-action-camera-portrait-of-a-young-man.mp4,PT00H00M09S,067151_067200,A young white handsome male doing an underwater selfie on an action camera. portrait of a young man with glasses taking himself off to the camera under water. 4k,9.0,young white handsome male underwater selfie action camera portrait young man glass taking camera water k,0,067151_067200
34517914,https://ak.picdn.net/shutterstock/videos/34517914/preview/stock-footage-wedding-decorations-with-flowers-hearts-butterflies-wedding-ceremony.mp4,PT00H00M09S,067151_067200,"Wedding decorations with flowers, hearts, butterflies. wedding ceremony.",9.0,wedding decoration flower heart butterfly wedding ceremony,0,067151_067200
20310088,https://ak.picdn.net/shutterstock/videos/20310088/preview/stock-footage-white-swans-and-ducks-slow-motion.mp4,PT00H00M14S,067151_067200,White swans and ducks slow motion,14.0,white swan duck slow motion,0,067151_067200
21899839,https://ak.picdn.net/shutterstock/videos/21899839/preview/stock-footage-girls-having-fun-teasing-and-playing-with-each-other-india.mp4,PT00H00M24S,067151_067200,"Girls having fun teasing and playing with each other, india ",24.0,girl fun teasing playing india,0,067151_067200
1028384717,https://ak.picdn.net/shutterstock/videos/1028384717/preview/stock-footage-new-york-ny-usa-march-road-traffic-in-new-york-view-from-rooftop.mp4,PT00H00M15S,067151_067200,"New york, ny / usa - march 2019: road traffic in new york, view from rooftop.",15.0,new york ny usa march road traffic new york view rooftop,0,067151_067200
1049059012,https://ak.picdn.net/shutterstock/videos/1049059012/preview/stock-footage-beautiful-and-lovely-bride-in-night-gown-and-veil-wedding-bouquet-in-the-hands-pretty-and-well.mp4,PT00H00M07S,067151_067200,Beautiful and lovely bride in night gown and veil. wedding bouquet in the hands. pretty and well-groomed woman. wedding morning. slow motion,7.0,beautiful lovely bride night gown veil wedding bouquet hand pretty wellgroomed woman wedding morning slow motion,0,067151_067200
13840115,https://ak.picdn.net/shutterstock/videos/13840115/preview/stock-footage-moscow-nov-cathedral-mosque-and-townscape-with-illumination-at-autumn-evening-aerial.mp4,PT00H00M11S,067151_067200,"Moscow - nov 28, 2015: cathedral mosque and townscape with illumination at autumn evening. aerial view",11.0,moscow nov cathedral mosque townscape illumination autumn evening aerial view,0,067151_067200
2573408,https://ak.picdn.net/shutterstock/videos/2573408/preview/stock-footage-slow-pan-across-the-liverpool-skyline-in-warm-evening-light.mp4,PT00H00M22S,067151_067200,Slow pan across the liverpool skyline in warm evening light,22.0,slow pan across liverpool skyline warm evening light,0,067151_067200
1009911737,https://ak.picdn.net/shutterstock/videos/1009911737/preview/stock-footage-hd-super-slow-water-curtain-close-up-abstract-background.mp4,PT00H00M22S,067151_067200,"Hd 1080 super slow water curtain close up abstract, background,",22.0,hd super slow water curtain close abstract background,0,067151_067200
1027182956,https://ak.picdn.net/shutterstock/videos/1027182956/preview/stock-footage--d-looped-animation-of-abstract-black-white-ribbons-twisting-and-move-around-with-glitter-in-the.mp4,PT00H00M59S,067151_067200,3d looped animation of abstract black-white ribbons twisting and move around with glitter in the light. 4k seamless footage with luma matte as alpha channel for easy change background. ver. 3,59.0,looped animation abstract blackwhite ribbon twisting move around glitter light k seamless footage luma matte alpha channel easy change background ver,0,067151_067200
14280790,https://ak.picdn.net/shutterstock/videos/14280790/preview/stock-footage-frankfurt-am-main-germany-september-lufthansa-airbus-towing-from-service-area.mp4,PT00H00M21S,067151_067200,"Frankfurt am main, germany - september 4, 2015: lufthansa airbus 340 towing from service area. unofficial spotting in fraport on sep. 4, 2015",21.0,frankfurt main germany september lufthansa airbus towing service area unofficial spotting fraport sep,0,067151_067200
24762485,https://ak.picdn.net/shutterstock/videos/24762485/preview/stock-footage-womens-basketball-player-waits-for-throw-in-slow-motion-k.mp4,PT00H00M09S,067151_067200,Womens basketball player waits for throw in slow motion 4k,9.0,womens basketball player wait throw slow motion k,0,067151_067200
1009213511,https://ak.picdn.net/shutterstock/videos/1009213511/preview/stock-footage-circa-s-astronauts-test-the-mobility-of-the-suit-in-a-similar-topography-as-the-moon-s-in.mp4,PT00H00M51S,067151_067200,Circa 1960s - astronauts test the mobility of the suit in a similar topography as the moon's in 1966.,51.0,circa astronaut test mobility suit similar topography moon,0,067151_067200
1015327780,https://ak.picdn.net/shutterstock/videos/1015327780/preview/stock-footage--k-cryptocurrency-trend-graph-real-time-trading-trend-chart-on-computer-bitcoin-price-ethereum.mp4,PT00H00M15S,067151_067200,"4k cryptocurrency trend graph,real-time trading trend chart on computer,bitcoin price,ethereum,litecoin,market cap,block-chain. gh2_12133_4k",15.0,k cryptocurrency trend graphrealtime trading trend chart computerbitcoin priceethereumlitecoinmarket capblockchain ghk,0,067151_067200
1037036417,https://ak.picdn.net/shutterstock/videos/1037036417/preview/stock-footage-aurora-borealis-northern-lights-time-lapse-night-clean-dark-sky-in-horizon-meteor-shower.mp4,PT00H00M13S,067151_067200,"Aurora borealis, northern lights time lapse, night clean dark sky in horizon, meteor shower panoramic view.",13.0,aurora borealis northern light time lapse night clean dark sky horizon meteor shower panoramic view,0,067151_067200
1063077925,https://ak.picdn.net/shutterstock/videos/1063077925/preview/stock-footage-close-up-portrait-of-happy-and-kind-senior-man-in-santa-claus-costume-with-bag-of-gifts-on-his.mp4,PT00H00M12S,067151_067200,Close up portrait of happy and kind senior man in santa claus costume with bag of gifts on his shoulders returns to camera and smiles.,12.0,close portrait happy kind senior man santa claus costume bag gift shoulder return camera smile,0,067151_067200
1008400516,https://ak.picdn.net/shutterstock/videos/1008400516/preview/stock-footage-young-artist-creating-art-object-in-studio.mp4,PT00H00M09S,067151_067200,Young artist creating art object in studio,9.0,young artist creating art object studio,0,067151_067200
16427461,https://ak.picdn.net/shutterstock/videos/16427461/preview/stock-footage-the-church-of-the-descent-of-the-holy-spirit-to-the-apostles-or-the-church-of-the-holy-spirit.mp4,PT00H00M09S,067151_067200,"The church of the descent of the holy spirit to the apostles or the church of the holy spirit (1476 a\x88\x93 1477). the holy trinity-st. sergius lavra in sergiev posad, russia.",9.0,church descent holy spirit apostle church holy spirit axx holy trinityst sergius lavra sergiev posad russia,0,067151_067200
1054024412,https://ak.picdn.net/shutterstock/videos/1054024412/preview/stock-footage-young-happy-loving-couple-having-date-in-the-park-relations-friendship-and-love-concept.mp4,PT00H00M31S,067151_067200,"Young, happy, loving couple having date in the park. relations, friendship and love concept.",31.0,young happy loving couple date park relation friendship love concept,0,067151_067200
1013541998,https://ak.picdn.net/shutterstock/videos/1013541998/preview/stock-footage-collection-of-elephant-trinkets-sway-in-a-traditional-market-in-tel-aviv.mp4,PT00H00M08S,067151_067200,Collection of elephant trinkets sway in a traditional market in tel aviv,8.0,collection elephant trinket sway traditional market tel aviv,0,067151_067200
1042716214,https://ak.picdn.net/shutterstock/videos/1042716214/preview/stock-footage-stream-of-green-luminous-particles-underwater-on-black-background-runs-into-a-spherical-field.mp4,PT00H00M28S,067151_067200,"Stream of green luminous particles underwater on black background runs into a spherical field, place for your text, logo. alpha channel as luma matte. ink effect of advection. ",28.0,stream green luminous particle underwater black background run spherical field place text logo alpha channel luma matte ink effect advection,0,067151_067200
1050162196,https://ak.picdn.net/shutterstock/videos/1050162196/preview/stock-footage-cute-boy-eating-chocolate-apple-sitting-on-straw-during-the-apple-picking-on-sunset-countryside.mp4,PT00H00M19S,067151_067200,Cute boy eating chocolate apple sitting on straw during the apple picking on sunset countryside,19.0,cute boy eating chocolate apple sitting straw apple picking sunset countryside,0,067151_067200
1030536821,https://ak.picdn.net/shutterstock/videos/1030536821/preview/stock-footage-two-female-workers-reading-email-about-promotion-happy-for-each-other-support.mp4,PT00H00M07S,067151_067200,"Two female workers reading email about promotion, happy for each other, support",7.0,two female worker reading email promotion happy support,0,067151_067200
1022383924,https://ak.picdn.net/shutterstock/videos/1022383924/preview/stock-footage-airplane-landing-dalian.mp4,PT00H00M08S,067151_067200,Airplane landing dalian,8.0,airplane landing dalian,0,067151_067200
1042755496,https://ak.picdn.net/shutterstock/videos/1042755496/preview/stock-footage-minsk-belarus-circa-green-screen-cu-caucasian-female-using-iphone-xs-max-against-white.mp4,PT00H00M06S,067151_067200,"Minsk/belarus - circa 2019: green screen cu caucasian female using iphone xs max against white background, vertical orientation. 4k uhd raw graded footage",6.0,minskbelarus circa green screen cu caucasian female using iphone x max white background vertical orientation k uhd raw graded footage,0,067151_067200
1016288593,https://ak.picdn.net/shutterstock/videos/1016288593/preview/stock-footage-dark-chrome-perforated-metal-texture-motion-background-seamless-loop-graphic-design-video.mp4,PT00H00M15S,067151_067200,Dark chrome perforated metal texture motion background. seamless loop graphic design. video metallic animation ultra hd 4k 3840x2160,15.0,dark chrome perforated metal texture motion background seamless loop graphic design video metallic animation ultra hd k x,0,067151_067200
1036298477,https://ak.picdn.net/shutterstock/videos/1036298477/preview/stock-footage-drops-of-water-flowing-down-on-a-wall-covered-with-natural-moss-in-rabacal-madeira-island-portugal.mp4,PT00H00M20S,067151_067200,"Drops of water flowing down on a wall covered with natural moss in rabacal, madeira island, portugal",20.0,drop water flowing wall covered natural moss rabacal madeira island portugal,0,067151_067200
1015907545,https://ak.picdn.net/shutterstock/videos/1015907545/preview/stock-footage-old-age-retirement-and-people-concept-senior-woman-reading-book-at-summer-park.mp4,PT00H00M14S,067151_067200,"Old age, retirement and people concept - senior woman reading book at summer park",14.0,old age retirement people concept senior woman reading book summer park,0,067151_067200
11822852,https://ak.picdn.net/shutterstock/videos/11822852/preview/stock-footage-this-is-a-timelapse-of-a-windmill-spining-with-the-sky-behind-it-shot-on-a-bmcc.mp4,PT00H00M31S,067151_067200,This is a timelapse of a windmill spining with the sky behind it. shot on a bmcc,31.0,timelapse windmill spining sky behind shot bmcc,0,067151_067200
19676599,https://ak.picdn.net/shutterstock/videos/19676599/preview/stock-footage-solitary-sailboat-in-the-ocean-at-sunrise-k.mp4,PT00H00M23S,067151_067200,Solitary sailboat in the ocean at sunrise. 4k,23.0,solitary sailboat ocean sunrise k,0,067151_067200
17606206,https://ak.picdn.net/shutterstock/videos/17606206/preview/stock-footage-beautiful-fish-inside-the-aquarium.mp4,PT00H00M18S,067151_067200,Beautiful fish inside the aquarium,18.0,beautiful fish inside aquarium,0,067151_067200
6525101,https://ak.picdn.net/shutterstock/videos/6525101/preview/stock-footage-happy-girl-woman-in-big-pent-happy-for-loss-weight-after-diet-regime-and-sport-for-wealthy-life.mp4,PT00H00M19S,067151_067200,"Happy girl, woman in big pent happy for loss weight after diet, regime and sport for wealthy life by day",19.0,happy girl woman big pent happy loss weight diet regime sport wealthy life day,0,067151_067200
1019499088,https://ak.picdn.net/shutterstock/videos/1019499088/preview/stock-footage-lund-sweden-june-time-lapse-of-lutheran-cathedral-in-lund-city-famous-landmark-building.mp4,PT00H00M16S,067151_067200,"Lund, sweden - june 22, 2010 time lapse of lutheran cathedral in lund city famous landmark building in sweden",16.0,lund sweden june time lapse lutheran cathedral lund city famous landmark building sweden,0,067151_067200
1019328997,https://ak.picdn.net/shutterstock/videos/1019328997/preview/stock-footage-squirrel-hides-food-for-the-winter-on-the-ground.mp4,PT00H00M10S,067151_067200,Squirrel hides food for the winter on the ground,10.0,squirrel hide food winter ground,0,067151_067200
19188535,https://ak.picdn.net/shutterstock/videos/19188535/preview/stock-footage-nizhny-novgorod-russia-august-monument-to-minin-and-pozharsky-on-the-bracket-sculptor.mp4,PT00H00M15S,067151_067200,"Nizhny novgorod, russia - august 30, 2016: monument to minin and pozharsky on the bracket, sculptor zurab tseritell, 5 meters, the height of the radius..nizhny novgorod.",15.0,nizhny novgorod russia august monument minin pozharsky bracket sculptor zurab tseritell meter height radiusnizhny novgorod,0,067151_067200
968479,https://ak.picdn.net/shutterstock/videos/968479/preview/stock-footage-close-shot-on-big-beautiful-artificial-waterfall-indoor.mp4,PT00H00M13S,067151_067200,Close shot on big beautiful artificial waterfall indoor,13.0,close shot big beautiful artificial waterfall indoor,0,067151_067200
11705396,https://ak.picdn.net/shutterstock/videos/11705396/preview/stock-footage-srwhale-from-boat-slomo.mp4,PT00H00M20S,067151_067200,Srwhale from boat 024 slomo,20.0,srwhale boat slomo,0,067151_067200
21856957,https://ak.picdn.net/shutterstock/videos/21856957/preview/stock-footage-man-with-a-beard-smokes-near-wooden-wall.mp4,PT00H00M09S,067151_067200,Man with a beard smokes near wooden wall.,9.0,man beard smoke near wooden wall,0,067151_067200
20844958,https://ak.picdn.net/shutterstock/videos/20844958/preview/stock-footage-man-look-to-commuter-train-arriving-to-station-wait-to-meet-someone-half-length-portrait-of-guy.mp4,PT00H00M11S,067151_067200,"Man look to commuter train arriving to station, wait to meet someone. half length portrait of guy watching for approaching electric train at suburban platform. vehicle rush beside and slow down",11.0,man look commuter train arriving station wait meet someone half length portrait guy watching approaching electric train suburban platform vehicle rush beside slow,0,067151_067200
1045897996,https://ak.picdn.net/shutterstock/videos/1045897996/preview/stock-footage-female-chief-engineer-and-male-project-managers-standing-in-the-middle-of-modern-factory-use.mp4,PT00H00M18S,067151_067200,"Female chief engineer and male project managers standing in the middle of modern factory, use laptop computer, plan production line optimization. professional people work on industrial cnc machinery",18.0,female chief engineer male project manager standing middle modern factory use laptop computer plan production line optimization professional people work industrial cnc machinery,0,067151_067200
1022262628,https://ak.picdn.net/shutterstock/videos/1022262628/preview/stock-footage-chicken-legs-close-up.mp4,PT00H00M25S,067151_067200,Chicken legs. close-up,25.0,chicken leg closeup,0,067151_067200
1037220071,https://ak.picdn.net/shutterstock/videos/1037220071/preview/stock-footage-aerial-desert-view-large-industrial-solar-energy-farm-producing-concentrated-solar-power-around.mp4,PT00H00M19S,067151_067200,Aerial desert view large industrial solar energy farm producing concentrated solar power. around the wilderness and the sun sets at sunset,19.0,aerial desert view large industrial solar energy farm producing concentrated solar power around wilderness sun set sunset,0,067151_067200
1011464780,https://ak.picdn.net/shutterstock/videos/1011464780/preview/stock-footage-barcelona-spain-may-the-torres-agbar-iconic-cone-shaped-building-located-between.mp4,PT00H00M10S,067151_067200,"Barcelona, spain - may 15, 2018: the torres agbar iconic cone shaped building, located between avinguda diagonal and carrer badajoz.",10.0,barcelona spain may torres agbar iconic cone shaped building located avinguda diagonal carrer badajoz,0,067151_067200
6394277,https://ak.picdn.net/shutterstock/videos/6394277/preview/stock-footage-high-desert-aerial-shot-of-the-high-desert-with-vast-flat-lands-and-rocky-hills.mp4,PT00H00M21S,067151_067200,High desert. aerial shot of the high desert with vast flat lands and rocky hills.,21.0,high desert aerial shot high desert vast flat land rocky hill,0,067151_067200
34480183,https://ak.picdn.net/shutterstock/videos/34480183/preview/stock-footage-chef-puts-one-fresh-lake-ohrid-brown-trout-in-a-pan-freshwater-fish-salmo-letnica-endemic.mp4,PT00H00M11S,067151_067200,"Chef puts one fresh lake ohrid brown trout in a pan.
freshwater fish, salmo letnica, endemic species. 
close up.",11.0,chef put one fresh lake ohrid brown trout pan freshwater fish salmo letnica endemic specie close,0,067151_067200
774304,https://ak.picdn.net/shutterstock/videos/774304/preview/stock-footage-sequence-of-spin-fishing-shots.mp4,PT00H00M39S,067151_067200,Sequence of spin fishing shots,39.0,sequence spin fishing shot,0,067151_067200
19278109,https://ak.picdn.net/shutterstock/videos/19278109/preview/stock-footage-dramatic-scene-with-wild-yellow-flowers-in-forest-with-lake-or-river-in-background.mp4,PT00H00M08S,067151_067200,Dramatic scene with wild yellow flowers in forest with lake or river in background,8.0,dramatic scene wild yellow flower forest lake river background,0,067151_067200
1059273506,https://ak.picdn.net/shutterstock/videos/1059273506/preview/stock-footage-young-engineer-writing-on-a-notebook-on-a-blue-background-a-bearded-architect-in-a-shirt-and-a.mp4,PT00H00M16S,067151_067200,Young engineer writing on a notebook on a blue background. a bearded architect in a shirt and a construction helmet writes a report on the work done. construction check.,16.0,young engineer writing notebook blue background bearded architect shirt construction helmet writes report work done construction check,0,067151_067200
3110179,https://ak.picdn.net/shutterstock/videos/3110179/preview/stock-footage-woman-riding-a-horse-at-a-trot-along-a-sandbar-at-the-beach.mp4,PT00H00M09S,067151_067200,Woman riding a horse at a trot along a sandbar at the beach.,9.0,woman riding horse trot along sandbar beach,0,067151_067200
1054443305,https://ak.picdn.net/shutterstock/videos/1054443305/preview/stock-footage-high-angle-close-up-of-a-selection-of-pastries-at-a-bakery-on-norwich-market-england.mp4,PT00H00M11S,067151_067200,"High angle close up of a selection of pastries at a bakery on norwich market, england.",11.0,high angle close selection pastry bakery norwich market england,0,067151_067200
22119427,https://ak.picdn.net/shutterstock/videos/22119427/preview/stock-footage-woman-in-a-traditional-yoga-pose.mp4,PT00H00M07S,067151_067200,Woman in a traditional yoga pose,7.0,woman traditional yoga pose,0,067151_067200
12445682,https://ak.picdn.net/shutterstock/videos/12445682/preview/stock-footage-seacoast-with-palm-trees-and-small-houses-on-water.mp4,PT00H00M13S,067151_067200,Seacoast with palm trees and small houses on water.,13.0,seacoast palm tree small house water,0,067151_067200
15611014,https://ak.picdn.net/shutterstock/videos/15611014/preview/stock-footage-republic-of-china-flag-waving-in-slow-motion-against-blue-sky-seamlessly-looped-close-up.mp4,PT00H00M27S,067151_067200,"Republic of china flag waving in slow motion against blue sky, seamlessly looped, close up, isolated on alpha channel with black and white luminance matte, perfect for film, news, digital composition",27.0,republic china flag waving slow motion blue sky seamlessly looped close isolated alpha channel black white luminance matte perfect film news digital composition,0,067151_067200
29813539,https://ak.picdn.net/shutterstock/videos/29813539/preview/stock-footage-aerial-bogota-monserrate-colombia.mp4,PT00H00M46S,067151_067200,Aerial bogota monserrate colombia 09,46.0,aerial bogota monserrate colombia,0,067151_067200
1027596179,https://ak.picdn.net/shutterstock/videos/1027596179/preview/stock-footage-happy-girl-blowing-beautiful-soap-bubbles-in-the-park-on-the-coast-in-spring-summer-and-smiling.mp4,PT00H00M10S,067151_067200,"Happy girl blowing beautiful soap bubbles in the park on the coast in spring, summer and smiling. slow motion. young girl resting in sun.",10.0,happy girl blowing beautiful soap bubble park coast spring summer smiling slow motion young girl resting sun,0,067151_067200
1054509335,https://ak.picdn.net/shutterstock/videos/1054509335/preview/stock-footage--s-cruise-ship-deck-young-women-sit-with-captain-man-takes-picture.mp4,PT00H00M22S,067151_067200,1930s: cruise ship deck. young women sit with captain. man takes picture.,22.0,cruise ship deck young woman sit captain man take picture,0,067151_067200
28524406,https://ak.picdn.net/shutterstock/videos/28524406/preview/stock-footage--d-animation-rotation-of-symbol-of-holidays-and-celebration-from-glass-animation-of-seamless-loop.mp4,PT00H00M20S,067151_067200,3d animation rotation of symbol of holidays and celebration from glass. animation of seamless loop.,20.0,animation rotation symbol holiday celebration glass animation seamless loop,0,067151_067200
1011708968,https://ak.picdn.net/shutterstock/videos/1011708968/preview/stock-footage-kyiv-ukraine-may-man-shooter-shoots-a-pistol.mp4,PT00H00M20S,067151_067200,"Kyiv, ukraine – may 3, 2018. man shooter shoots a pistol.",20.0,kyiv ukraine may man shooter shoot pistol,0,067151_067200
1008225385,https://ak.picdn.net/shutterstock/videos/1008225385/preview/stock-footage-pahang-malaysia-march-traditional-lion-and-dragon-dance-celebration-inside-of-the-wan.mp4,PT00H00M10S,067151_067200,"Pahang, malaysia - march 02 2018 : traditional lion and dragon dance celebration inside of the wan fo tien temple in conjunction of chinese new year.",10.0,pahang malaysia march traditional lion dragon dance celebration inside wan fo tien temple conjunction chinese new year,0,067151_067200
1034763644,https://ak.picdn.net/shutterstock/videos/1034763644/preview/stock-footage-a-group-of-flamingo-birds-on-a-lake-in-a-zoo-concept-of-animals-in-the-zoo.mp4,PT00H00M40S,067151_067200,A group of flamingo birds on a lake in a zoo. concept of animals in the zoo. ,40.0,group flamingo bird lake zoo concept animal zoo,0,067151_067200
1045364521,https://ak.picdn.net/shutterstock/videos/1045364521/preview/stock-footage-people-on-the-beach-men-share-drinks-from-a-blue-esky-bondi-beach-sydney-australia-march.mp4,PT00H00M07S,067151_067200,"People on the beach, 2 men share drinks from a blue esky: bondi beach, sydney australia - march 2018 ",7.0,people beach men share drink blue esky bondi beach sydney australia march,0,067151_067200
21261709,https://ak.picdn.net/shutterstock/videos/21261709/preview/stock-footage-the-fisherman-walking-to-the-river.mp4,PT00H00M13S,067151_067200,The fisherman walking to the river,13.0,fisherman walking river,0,067151_067200
