video_id,detected_objects
1019279353.mp4,person
1021722655.mp4,"person, banana"
1023381451.mp4,person
1025873066.mp4,"person, cell phone"
1027712255.mp4,"person, donut"
1036350608.mp4,"person, bicycle, car"
1036938494.mp4,"person, tennis racket, kite, umbrella"
1037657549.mp4,person
1041406015.mp4,person
1041601438.mp4,person
1047489178.mp4,"person, suitcase"
1048856095.mp4,donut
1055223761.mp4,person
1058815357.mp4,"kite, giraffe"
1059289106.mp4,tv
1006836907.mp4,"person, cup, laptop"
1007098057.mp4,boat
1012099145.mp4,person
1013160602.mp4,"person, train"
1014233714.mp4,person
1014302252.mp4,person
10192916.mp4,person
1022012752.mp4,"frisbee, clock"
1026133607.mp4,"potted plant, broccoli, scissors, cell phone"
1029925352.mp4,"person, cell phone"
1031091767.mp4,person
1031124035.mp4,"person, sports ball"
1031590661.mp4,"sink, dog, chair, person, cell phone, handbag"
1033467017.mp4,"person, bicycle, car"
1034075918.mp4,stop sign
1035055991.mp4,"person, dining table, wine glass, bottle"
1036342133.mp4,"person, skateboard, bicycle, car"
1037917400.mp4,"frisbee, person"
1038394076.mp4,stop sign
1047929038.mp4,"person, chair, laptop"
1048129264.mp4,"person, cell phone"
1049282791.mp4,dining table
1049958388.mp4,person
1050700861.mp4,"person, bottle"
1008042424.mp4,"person, frisbee, cell phone"
1008765917.mp4,"person, bicycle"
1010793005.mp4,person
1011282761.mp4,"person, backpack, cell phone, potted plant"
1013538731.mp4,person
1013688599.mp4,"person, cat, dog"
1013989028.mp4,person
1015980238.mp4,"truck, person, car"
1018682881.mp4,car
1020253909.mp4,"person, umbrella, boat"
1020819265.mp4,"person, umbrella, bench, handbag"
1021142203.mp4,car
1023628312.mp4,"bear, bird"
1025857175.mp4,umbrella
1026257924.mp4,"person, tie"
1028169368.mp4,donut
1028369249.mp4,donut
10292495.mp4,"person, sports ball"
1029277856.mp4,bear
1030328792.mp4,person
1030640864.mp4,cow
1033290890.mp4,person
1035374189.mp4,"dog, bird"
1035953255.mp4,"person, vase, cell phone"
1037901602.mp4,person
1042522420.mp4,"person, umbrella"
